,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,공란,ID,이름,,ID,이름,금액,,,,,번호,이름
,,,201001,낡은 괭이,,301001,하급 품질 비료,100,,,,,0~99,소모성
,,,201002,동 괭이,,301002,중급 품질 비료,100,,,,,100~199,장비
,,,201003,철 괭이,,301003,고급 품질 비료,100,,,,,200~299,광석
,,,201004,은 괭이,,301004,최고급 품질 비료,100,,,,,300~399,원석
,,,201005,금 괭이,,301005,전설의 품질 비료,100,,,,,400~499,원목
,,,201006,플래티넘 괭이,,301006,하급 풍작 비료,100,,,,,500~599,풀
,,,201007,아다만티움 괭이,,301007,중급 풍작 비료,100,,,,,600~699,사용
,,,201008,오리할콘 괭이,,301008,고급 풍작 비료,100,,,,,700~,작물
,,,201009,낡은 물뿌리개,,301009,최고급 풍작 비료,100,,,,,,
,,,201010,동 물뿌리개,,301010,전설의 풍작 비료,100,,,,,품질,배율
,,,201011,철 물뿌리개,,301011,하급 종합 비료,100,,,,,0,X1.0
,,,201012,은 물뿌리개,,301012,중급 종합 비료,100,,,,,1,X1.2
,,,201013,금 물뿌리개,,301013,고급 종합 비료,100,,,,,2,X1.4
,,,201014,플래티넘 물뿌리개,,301014,최고급 종합 비료,100,,,,,3,X1.6
,,,201015,아다만티움 물뿌리개,,301015,전설의 종합 비료,100,,,,,4,X1.8
,,,201016,오리할콘 물뿌리개,,401001,빨간 거베라 씨앗,40,,,,,5,X2.0
,,,201017,낡은 망치,,401002,주황 거베라 씨앗,40,,,,,6,X2.2
,,,201018,동 망치,,401003,노란 거베라 씨앗,40,,,,,7,X2.4
,,,201019,철 망치,,401004,분홍 거베라 씨앗,40,,,,,8,X2.6
,,,201020,은 망치,,401005,하얀 거베라 씨앗,40,,,,,9,X2.8
,,,201021,금 망치,,401006,빨간 국화 씨앗,30,,,,,10,X3.0
,,,201022,플래티넘 망치,,401007,노란 국화 씨앗,30,,,,,,
,,,201023,아다만티움 망치,,401008,초록 국화 씨앗,30,,,,,,
,,,201024,오리할콘 망치,,401009,보라 국화 씨앗,30,,,,,,
,,,201025,낡은 낫,,401010,분홍 국화 씨앗,30,,,,,,
,,,201026,동 낫,,401011,하얀 국화 씨앗,30,,,,,,
,,,201027,철 낫,,401012,파란 델피늄 씨앗,75,,,,,,
,,,201028,은 낫,,401013,보라 델피늄 씨앗,75,,,,,,
,,,201029,금 낫,,401014,분홍 델피늄 씨앗,75,,,,,,
,,,201030,플래티넘 낫,,401015,하얀 델피늄 씨앗,75,,,,,,
,,,201031,아다만티움 낫,,401016,빨간 라넌큘러스 씨앗,27,,,,,,
,,,201032,오리할콘 낫,,401017,주황 라넌큘러스 씨앗,27,,,,,,
,,,201033,낡은 도끼,,401018,노란 라넌큘러스 씨앗,27,,,,,,
,,,201034,동 도끼,,401019,초록 라넌큘러스 씨앗,27,,,,,,
,,,201035,철 도끼,,401020,보라 라넌큘러스 씨앗,27,,,,,,
,,,201036,은 도끼,,401021,분홍 라넌큘러스 씨앗,27,,,,,,
,,,201037,금 도끼,,401022,하얀 라넌큘러스 씨앗,27,,,,,,
,,,201038,플래티넘 도끼,,401023,노란 리시안셔스 씨앗,55,,,,,,
,,,201039,아다만티움 도끼,,401024,초록 리시안셔스 씨앗,55,,,,,,
,,,201040,오리할콘 도끼,,401025,보라 리시안셔스 씨앗,55,,,,,,
,,,301001,하급 품질 비료,,401026,분홍 리시안셔스 씨앗,55,,,,,,
,,,301002,중급 품질 비료,,401027,하얀 리시안셔스 씨앗,55,,,,,,
,,,301003,고급 품질 비료,,401028,빨간 백합 씨앗,27,,,,,,
,,,301004,최고급 품질 비료,,401029,주황 백합 씨앗,27,,,,,,
,,,301005,전설의 품질 비료,,401030,노란 백합 씨앗,27,,,,,,
,,,301006,하급 풍작 비료,,401031,분홍 백합 씨앗,27,,,,,,
,,,301007,중급 풍작 비료,,401032,검은 백합 씨앗,27,,,,,,
,,,301008,고급 풍작 비료,,401033,하얀 백합 씨앗,27,,,,,,
,,,301009,최고급 풍작 비료,,401034,빨간 수국 씨앗,85,,,,,,
,,,301010,전설의 풍작 비료,,401035,초록 수국 씨앗,85,,,,,,
,,,301011,하급 종합 비료,,401036,파란 수국 씨앗,85,,,,,,
,,,301012,중급 종합 비료,,401037,보라 수국 씨앗,85,,,,,,
,,,301013,고급 종합 비료,,401038,분홍 수국 씨앗,85,,,,,,
,,,301014,최고급 종합 비료,,401039,하얀 수국 씨앗,85,,,,,,
,,,301015,전설의 종합 비료,,401040,빨간 아네모네 씨앗,27,,,,,,
,,,401001,빨간 거베라 씨앗,,401041,주황 아네모네 씨앗,27,,,,,,
,,,401002,주황 거베라 씨앗,,401042,파란 아네모네 씨앗,27,,,,,,
,,,401003,노란 거베라 씨앗,,401043,보라 아네모네 씨앗,27,,,,,,
,,,401004,분홍 거베라 씨앗,,401044,분홍 아네모네 씨앗,27,,,,,,
,,,401005,하얀 거베라 씨앗,,401045,하얀 아네모네 씨앗,27,,,,,,
,,,401006,빨간 국화 씨앗,,401046,빨간 작약 씨앗,125,,,,,,
,,,401007,노란 국화 씨앗,,401047,노란 작약 씨앗,125,,,,,,
,,,401008,초록 국화 씨앗,,401048,분홍 작약 씨앗,125,,,,,,
,,,401009,보라 국화 씨앗,,401049,하얀 작약 씨앗,125,,,,,,
,,,401010,분홍 국화 씨앗,,401050,빨간 장미 씨앗,45,,,,,,
,,,401011,하얀 국화 씨앗,,401051,주황 장미 씨앗,45,,,,,,
,,,401012,파란 델피늄 씨앗,,401052,노란 장미 씨앗,45,,,,,,
,,,401013,보라 델피늄 씨앗,,401053,초록 장미 씨앗,45,,,,,,
,,,401014,분홍 델피늄 씨앗,,401054,파란 장미 씨앗,45,,,,,,
,,,401015,하얀 델피늄 씨앗,,401055,보라 장미 씨앗,45,,,,,,
,,,401016,빨간 라넌큘러스 씨앗,,401056,분홍 장미 씨앗,45,,,,,,
,,,401017,주황 라넌큘러스 씨앗,,401057,검은 장미 씨앗,45,,,,,,
,,,401018,노란 라넌큘러스 씨앗,,401058,하얀 장미 씨앗,45,,,,,,
,,,401019,초록 라넌큘러스 씨앗,,401059,무지개 장미 씨앗,45,,,,,,
,,,401020,보라 라넌큘러스 씨앗,,401060,빨간 카네이션 씨앗,25,,,,,,
,,,401021,분홍 라넌큘러스 씨앗,,401061,주황 카네이션 씨앗,25,,,,,,
,,,401022,하얀 라넌큘러스 씨앗,,401062,노란 카네이션 씨앗,25,,,,,,
,,,401023,노란 리시안셔스 씨앗,,401063,초록 카네이션 씨앗,25,,,,,,
,,,401024,초록 리시안셔스 씨앗,,401064,보라 카네이션 씨앗,25,,,,,,
,,,401025,보라 리시안셔스 씨앗,,401065,분홍 카네이션 씨앗,25,,,,,,
,,,401026,분홍 리시안셔스 씨앗,,401066,하얀 카네이션 씨앗,25,,,,,,
,,,401027,하얀 리시안셔스 씨앗,,401067,빨간 코스모스 씨앗,12,,,,,,
,,,401028,빨간 백합 씨앗,,401068,주황 코스모스 씨앗,12,,,,,,
,,,401029,주황 백합 씨앗,,401069,노란 코스모스 씨앗,12,,,,,,
,,,401030,노란 백합 씨앗,,401070,분홍 코스모스 씨앗,12,,,,,,
,,,401031,분홍 백합 씨앗,,401071,검은 코스모스 씨앗,12,,,,,,
,,,401032,검은 백합 씨앗,,401072,하얀 코스모스 씨앗,12,,,,,,
,,,401033,하얀 백합 씨앗,,401073,빨간 튤립 씨앗,22,,,,,,
,,,401034,빨간 수국 씨앗,,401074,주황 튤립 씨앗,22,,,,,,
,,,401035,초록 수국 씨앗,,401075,노란 튤립 씨앗,22,,,,,,
,,,401036,파란 수국 씨앗,,401076,보라 튤립 씨앗,22,,,,,,
,,,401037,보라 수국 씨앗,,401077,분홍 튤립 씨앗,22,,,,,,
,,,401038,분홍 수국 씨앗,,401078,검은 튤립 씨앗,22,,,,,,
,,,401039,하얀 수국 씨앗,,401079,하얀 튤립 씨앗,22,,,,,,
,,,401040,빨간 아네모네 씨앗,,401080,빨간 프리지아 씨앗,22,,,,,,
,,,401041,주황 아네모네 씨앗,,401081,노란 프리지아 씨앗,22,,,,,,
,,,401042,파란 아네모네 씨앗,,401082,보라 프리지아 씨앗,22,,,,,,
,,,401043,보라 아네모네 씨앗,,401083,분홍 프리지아 씨앗,22,,,,,,
,,,401044,분홍 아네모네 씨앗,,401084,하얀 프리지아 씨앗,22,,,,,,
,,,401045,하얀 아네모네 씨앗,,401085,빨간 히아신스 씨앗,27,,,,,,
,,,401046,빨간 작약 씨앗,,401086,주황 히아신스 씨앗,27,,,,,,
,,,401047,노란 작약 씨앗,,401087,노란 히아신스 씨앗,27,,,,,,
,,,401048,분홍 작약 씨앗,,401088,파란 히아신스 씨앗,27,,,,,,
,,,401049,하얀 작약 씨앗,,401089,보라 히아신스 씨앗,27,,,,,,
,,,401050,빨간 장미 씨앗,,401090,분홍 히아신스 씨앗,27,,,,,,
,,,401051,주황 장미 씨앗,,401091,하얀 히아신스 씨앗,27,,,,,,
,,,401052,노란 장미 씨앗,,401092,노란 연꽃 씨앗,57,,,,,,
,,,401053,초록 장미 씨앗,,401093,파란 연꽃 씨앗,57,,,,,,
,,,401054,파란 장미 씨앗,,401094,보라 연꽃 씨앗,57,,,,,,
,,,401055,보라 장미 씨앗,,401095,분홍 연꽃 씨앗,57,,,,,,
