Flower
번호,ID,Name,Speciesld,Color,Floriography 1,Floriography 2,성장일수ID,수확량,가격
0,402001,빨간 거베라,1,1,13,14,4,4,80
1,402002,주황 거베라,1,2,11,13,4,4,80
2,402003,노란 거베라,1,3,6,,4,4,80
3,402004,분홍 거베라,1,7,2,,4,4,80
4,402005,하얀 거베라,1,9,3,12,4,4,80
5,402006,빨간 국화,2,1,9,,3,7,60
6,402007,노란 국화,2,3,9,19,3,7,60
7,402008,초록 국화,2,4,19,,3,7,60
8,402009,보라 국화,2,6,17,,3,7,60
9,402010,분홍 국화,2,7,9,,3,7,60
10,402011,하얀 국화,2,9,11,18,3,7,60
11,402012,파란 델피늄,3,5,13,20,5,5,150
12,402013,보라 델피늄,3,6,3,,5,5,150
13,402014,분홍 델피늄,3,7,9,,5,5,150
14,402015,하얀 델피늄,3,9,3,20,5,5,150
15,402016,빨간 라넌큘러스,4,1,6,,3,6,55
16,402017,주황 라넌큘러스,4,2,13,,3,6,55
17,402018,노란 라넌큘러스,4,3,6,,3,6,55
18,402019,초록 라넌큘러스,4,4,13,,3,6,55
19,402020,보라 라넌큘러스,4,6,9,20,3,6,55
20,402021,분홍 라넌큘러스,4,7,9,,3,6,55
21,402022,하얀 라넌큘러스,4,9,3,10,3,6,55
22,402023,노란 리시안셔스,5,3,1,20,5,9,110
23,402024,초록 리시안셔스,5,4,9,,5,9,110
24,402025,보라 리시안셔스,5,6,6,9,5,9,110
25,402026,분홍 리시안셔스,5,7,9,17,5,9,110
26,402027,하얀 리시안셔스,5,9,9,15,5,9,110
27,402028,빨간 백합,6,1,9,14,3,6,55
28,402029,주황 백합,6,2,14,,3,6,55
29,402030,노란 백합,6,3,1,20,3,6,55
30,402031,분홍 백합,6,7,19,,3,6,55
31,402032,검은 백합,6,8,7,,3,6,55
32,402033,하얀 백합,6,9,3,9,3,6,55
33,402034,빨간 수국,7,1,22,,5,3,170
34,402035,초록 수국,7,4,17,,5,3,170
35,402036,파란 수국,7,5,5,,5,3,170
36,402037,보라 수국,7,6,1,17,5,3,170
37,402038,분홍 수국,7,7,22,,5,3,170
38,402039,하얀 수국,7,9,1,,5,3,170
39,402040,빨간 아네모네,8,1,9,,3,6,55
40,402041,주황 아네모네,8,2,11,,3,6,55
41,402042,파란 아네모네,8,5,11,,3,6,55
42,402043,보라 아네모네,8,6,17,,3,6,55
43,402044,분홍 아네모네,8,7,9,,3,6,55
44,402045,하얀 아네모네,8,9,11,22,3,6,55
45,402046,빨간 작약,9,1,11,14,6,4,250
46,402047,노란 작약,9,3,10,19,6,4,250
47,402048,분홍 작약,9,7,19,,6,4,250
48,402049,하얀 작약,9,9,10,20,6,4,250
49,402050,빨간 장미,10,1,9,14,4,5,90
50,402051,주황 장미,10,2,13,14,4,5,90
51,402052,노란 장미,10,3,15,,4,5,90
52,402053,초록 장미,10,4,9,,4,5,90
53,402054,파란 장미,10,5,21,,4,5,90
54,402055,보라 장미,10,6,9,,4,5,90
55,402056,분홍 장미,10,7,2,11,4,5,90
56,402057,검은 장미,10,8,1,16,4,5,90
57,402058,하얀 장미,10,9,3,12,4,5,90
58,402059,무지개 장미,10,10,20,,4,5,90
59,402060,빨간 카네이션,11,1,9,,2,7,50
60,402061,주황 카네이션,11,2,4,12,2,7,50
61,402062,노란 카네이션,11,3,5,,2,7,50
62,402063,초록 카네이션,11,4,18,,2,7,50
63,402064,보라 카네이션,11,6,19,,2,7,50
64,402065,분홍 카네이션,11,7,1,5,2,7,50
65,402066,하얀 카네이션,11,9,9,14,2,7,50
66,402067,빨간 코스모스,12,1,9,,1,8,25
67,402068,주황 코스모스,12,2,6,,1,8,25
68,402069,노란 코스모스,12,3,4,,1,8,25
69,402070,분홍 코스모스,12,7,17,,1,8,25
70,402071,검은 코스모스,12,8,18,,1,8,25
71,402072,하얀 코스모스,12,9,3,,1,8,25
72,402073,빨간 튤립,13,1,4,9,2,8,45
73,402074,주황 튤립,13,2,13,,2,8,45
74,402075,노란 튤립,13,3,9,,2,8,45
75,402076,보라 튤립,13,6,9,,2,8,45
76,402077,분홍 튤립,13,7,2,4,2,8,45
77,402078,검은 튤립,13,8,6,,2,8,45
78,402079,하얀 튤립,13,9,8,16,2,8,45
79,402080,빨간 프리지아,14,1,9,14,2,8,45
80,402081,노란 프리지아,14,3,22,,2,8,45
81,402082,보라 프리지아,14,6,6,9,2,8,45
82,402083,분홍 프리지아,14,7,4,9,2,8,45
83,402084,하얀 프리지아,14,9,3,,2,8,45
84,402085,빨간 히아신스,15,1,9,,3,5,55
85,402086,주황 히아신스,15,2,8,20,3,5,55
86,402087,노란 히아신스,15,3,22,,3,5,55
87,402088,파란 히아신스,15,5,9,,3,5,55
88,402089,보라 히아신스,15,6,8,9,3,5,55
89,402090,분홍 히아신스,15,7,4,9,3,5,55
90,402091,하얀 히아신스,15,9,9,20,3,5,55
91,402092,노란 연꽃,16,3,9,16,4,4,115
92,402093,파란 연꽃,16,5,11,13,4,4,115
93,402094,보라 연꽃,16,6,9,17,4,4,115
94,402095,분홍 연꽃,16,7,4,9,4,4,115
95,402096,하얀 연꽃,16,9,12,13,4,4,115
96,402097,빨간 해바라기,17,1,9,14,1,7,30
97,402098,주황 해바라기,17,2,10,22,1,7,30
98,402099,노란 해바라기,17,3,9,11,1,7,30
99,402100,검은 해바라기,17,8,3,13,1,7,30
100,402101,하얀 해바라기,17,9,3,12,1,7,30
