번호,ID,이름,종류,등급,최대내구도,효율,최대차징,기본범위,1차차징범위,2차차징범위,차징시간
001,201001,낡은 괭이,Hoe,Old,Unknown,Unknown,Unknown,Default,Unknown,Unknown,Unknown
002,201002,동 괭이,Hoe,Copper,Unknown,Unknown,LV1,Default,A2,Unknown,LV4
003,201003,철 괭이,Hoe,Iron,Unknown,Unknown,LV1,Default,A2,A3,LV4
004,201004,은 괭이,Hoe,Siver,Unknown,Unknown,LV2,Default/A2,A3,A4,LV3
005,201005,금 괭이,Hoe,Gold,Unknown,Unknown,LV2,Default/A2,A3,A4,LV3
006,201006,플래티넘 괭이,Hoe,Platinum,Unknown,Unknown,LV2,Default/A3,A4,A5,LV2
007,201007,아다만티움 괭이,Hoe,Adamantium,Unknown,Unknown,LV2,Default/A3,A4,A5,LV2
008,201008,오리할콘 괭이,Hoe,Orichalcum,Unknown,Unknown,LV1,Default/A4,A5,Unknown,LV1
009,201009,낡은 물뿌리개,WateringCan,Old,Unknown,Unknown,Unknown,Default,Unknown,Unknown,Unknown
010,201010,동 물뿌리개,WateringCan,Copper,Unknown,Unknown,LV1,Default,A2,Unknown,LV4
011,201011,철 물뿌리개,WateringCan,Iron,Unknown,Unknown,LV1,Default,A2,A3,LV4
012,201012,은 물뿌리개,WateringCan,Siver,Unknown,Unknown,LV2,Default/A2,A3,A4,LV3
013,201013,금 물뿌리개,WateringCan,Gold,Unknown,Unknown,LV2,Default/A2,A3,A4,LV3
014,201014,플래티넘 물뿌리개,WateringCan,Platinum,Unknown,Unknown,LV2,Default/A3,A4,A5,LV2
015,201015,아다만티움 물뿌리개,WateringCan,Adamantium,Unknown,Unknown,LV2,Default/A3,A4,A5,LV2
016,201016,오리할콘 물뿌리개,WateringCan,Orichalcum,Unknown,Unknown,LV1,Default/A4,A5,Unknown,LV1
017,201017,낡은 망치,Hammer,Old,LV1,LV1,Unknown,Default,Unknown,Unknown,Unknown
018,201018,동 망치,Hammer,Copper,LV2,LV2,LV1,Default,A2,Unknown,LV4
019,201019,철 망치,Hammer,Iron,LV3,LV3,LV1,Default,A2,A3,LV4
020,201020,은 망치,Hammer,Siver,LV4,LV4,LV2,Default/A2,A3,A4,LV3
021,201021,금 망치,Hammer,Gold,LV5,LV5,LV2,Default/A2,A3,A4,LV3
022,201022,플래티넘 망치,Hammer,Platinum,LV6,LV6,LV2,Default/A3,A4,A5,LV2
023,201023,아다만티움 망치,Hammer,Adamantium,LV7,LV7,LV2,Default/A3,A4,A5,LV2
024,201024,오리할콘 망치,Hammer,Orichalcum,LV8,LV8,LV1,Default/A4,A5,Unknown,LV1
025,201025,낡은 낫,Sickle,Old,LV1,Unknown,Unknown,Default,Unknown,Unknown,Unknown
026,201026,동 낫,Sickle,Copper,LV2,Unknown,LV1,Default,B1,Unknown,LV5
027,201027,철 낫,Sickle,Iron,LV3,Unknown,LV1,Default,B1,Unknown,LV2
028,201028,은 낫,Sickle,Siver,LV4,Unknown,LV2,Default,B1,B2,LV4
029,201029,금 낫,Sickle,Gold,LV5,Unknown,LV2,Default,B1,B2,LV2
030,201030,플래티넘 낫,Sickle,Platinum,LV6,Unknown,LV2,Default/B1,B2,B3,LV2
031,201031,아다만티움 낫,Sickle,Adamantium,LV7,Unknown,LV2,Default/B1,B2,B3,LV2
032,201032,오리할콘 낫,Sickle,Orichalcum,LV8,Unknown,LV1,Default/B1,B3,Unknown,LV1
033,201033,낡은 도끼,Axe,Old,LV1,LV1,Unknown,Default,Unknown,Unknown,Unknown
034,201034,동 도끼,Axe,Copper,LV2,LV2,LV1,Default,C2,Unknown,LV4
035,201035,철 도끼,Axe,Iron,LV3,LV3,LV1,Default,C2,C3,LV4
036,201036,은 도끼,Axe,Siver,LV4,LV4,LV2,Default/C2,C3,C4,LV3
037,201037,금 도끼,Axe,Gold,LV5,LV5,LV2,Default/C2,C3,C4,LV3
038,201038,플래티넘 도끼,Axe,Platinum,LV6,LV6,LV2,Default/C3,C4,C5,LV2
039,201039,아다만티움 도끼,Axe,Adamantium,LV7,LV7,LV2,Default/C3,C4,C5,LV2
040,201040,오리할콘 도끼,Axe,Orichalcum,LV8,LV8,LV1,Default/C4,C5,,LV1
