등급,이름,제작 가로 (X),제작 세로 (Y),재료 비율 (A),재료 비율 (B),가격/수량
1등급,오래된 씨앗 메이커,1,2,1,1,50
2등급,수리된 씨앗 메이커,2,2,1,1,100
3등급,보강된 씨앗 메이커,2,4,1,1,200
4등급,궁극의 씨앗 메이커,3,4,1,1,300
5등급,현자의 씨앗 메이커,4,4,1,2,500
1등급,오래된 주괴 메이커,1,1,4,1,10
2등급,수리된 주괴 메이커,1,2,3,1,20
3등급,보강된 주괴 메이커,2,2,2,1,30
4등급,궁극의 주괴 메이커,2,3,1,1,50
5등급,현자의 주괴 메이커,3,3,1,2,100
1등급,오래된 보석 메이커,1,1,4,1,10
2등급,수리된 보석 메이커,1,2,3,1,20
3등급,보강된 보석 메이커,2,2,2,1,30
4등급,궁극의 보석 메이커,2,3,1,1,50
5등급,현자의 보석 메이커,3,3,1,2,100
1등급,오래된 목재 메이커,1,1,4,1,10
2등급,수리된 목재 메이커,1,2,3,1,20
3등급,보강된 목재 메이커,2,2,2,1,30
4등급,궁극의 목재 메이커,2,3,1,1,50
5등급,현자의 목재 메이커,3,3,1,2,100
1등급,오래된 비료 메이커,1,1,5,1,10
2등급,수리된 비료 메이커,1,2,5,1,20
3등급,보강된 비료 메이커,2,2,5,2,30
4등급,궁극의 비료 메이커,2,3,5,2,50
5등급,현자의 비료 메이커,3,3,5,3,100
