,,,,,,
,,,,,,"[CreateAssetMenu(fileName = ""FarmChunkDataSetSO"", menuName = ""Dataset/FarmChunks"", order = 1)]
public class FarmChunkDataSet : ScriptableObject
{
    [field: SerializeField] private ChunkData[] DataList;
    
    public ref ChunkData getChunk(ref int chunkNo)
    {
        return ref DataList[chunkNo - 1];
    }
}"
,,,,,,"[CreateAssetMenu(fileName = ""ForestChunkDataSetSO"", menuName = ""Dataset/ForestChunks"", order = 2)]
public class ForestChunkDataSet : ScriptableObject
{
    [field: SerializeField] private ChunkData[] DataList;

    public ref ChunkData getChunk(ref int chunkNo)
    {
        return ref DataList[chunkNo - 1];
    }
}
"
,,,,,,"[CreateAssetMenu(fileName = ""MineChunkDataSetSO"", menuName = ""Dataset/MineChunks"", order = 3)]
public class MineChunkDataSet : ScriptableObject
{
    [field: SerializeField] private ChunkData[] DataList;

    public ref ChunkData getChunk(ref int chunkNo)
    {
        return ref DataList[chunkNo - 1];
    }
}
"
,,"public enum ChunkType 
{
   Unknonwn = 0,
   Farm = 1,
   Forest = 2,
   Field = 3,
   Mine = 4,
}",,"public enum ChunkGrade
{
    Unknown = 0,
    Lv1 = 1,
    Lv2 = 2,
    Lv3 = 3,
    Lv4 = 4,
    Lv5 = 5,
}",,"[CreateAssetMenu(fileName = ""FieldChunkDataSetSO"", menuName = ""Dataset/FieldChunks"", order = 4)]
public class FieldChunkDataSet : ScriptableObject
{
    [field: SerializeField] private ChunkData[] DataList;

    public ref ChunkData getChunk(ref int chunkNo)
    {
        return ref DataList[chunkNo - 1];
    }
}"
,ChunkId ( int),ChunkType,ChunkGrade,ContiguousChunk ( int4),,
,1,Farm,1,"2,3,4",,
,2,Farm,2,"5,6,",,
,3,Farm,2,"6,7,8,",,
,4,Farm,2,"8,9,",,
,5,Farm,3,"2,10,11,",,
,6,Farm,3,"3,11,12,",,
,7,Farm,3,"3,12,13, 14",,
,8,Farm,3,"3,14,15",,
,9,Farm,3,"4,15,16",,
,10,Farm,4,"5,17,18",,
,11,Farm,4,"6,18,19",,
,12,Farm,4,"7,19,20",,
,13,Farm,4,"7,20,21,22",,
,14,Farm,4,"7,22,23",,
,15,Farm,4,"8,23,24",,
,16,Farm,4,"9,24,25",,
,17,Farm,5,10,,
,18,Farm,5,"10,11",,
,19,Farm,5,"11,12",,
,20,Farm,5,"12,13",,
,21,Farm,5,13,,
,22,Farm,5,"13,14",,
,23,Farm,5,"14,15",,
,24,Farm,5,"15,16",,
,25,Farm,5,16,,
,1,Forest,1,2,,
,2,Forest,1,3,,
,3,Forest,1,4,,
,4,Forest,1,0,,
,1,Grass,1,2,,
,2,Grass,1,3,,
,3,Grass,1,4,,
,4,Grass,1,0,,
,1,Mine,1,2,,
,2,Mine,1,3,,
,3,Mine,1,4,,
,4,Mine,1,0,,
